Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Paga_Dividendos,Tamanio_Empresa,Valuacion_PE
MMM,3M,Industrial Conglomerates,182.65,32.442272,0.0171,5.63,139.34,184.9,94196695040.0,6488000000.0,3.740933,31.909502,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,Sí,Large Cap,Sobrevalorada
AOS,A. O. Smith,Building Products,62.17,17.317549,0.0232,3.59,54.16,81.87,8449436160.0,783699968.0,2.2206724,4.5875144,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS,Sí,Mid Cap,Neutral
ABT,Abbott Laboratories,Health Care Equipment,111.25,36.00324,0.0227,3.09,81.97,137.49,193776713728.0,11681000448.0,4.1596375,3.7664623,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT,Sí,Large Cap,Sobrevalorada
ABBV,AbbVie,Biotechnology,249.46,70.468925,0.0277,3.54,190.75,267.47,440825085952.0,30762999808.0,6.8465986,-74.26615,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV,Sí,Large Cap (Mega),Sobrevalorada
ACN,Accenture,IT Consulting & Other Services,176.89,14.128593,0.0369,12.52,118.15,291.09,108246433792.0,12943767552.0,1.4807874,3.3938336,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN,Sí,Large Cap,Subvalorada
ADBE,Adobe Inc.,Application Software,264.02,15.104118,0.0,17.48,190.12,370.86,104947949568.0,9729000448.0,4.164932,9.146083,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE,No,Large Cap,Neutral
AMD,Advanced Micro Devices,Semiconductors,514.39,131.55754,0.0,3.91,149.22,584.73,839728824320.0,9562000384.0,20.329954,12.487922,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD,No,Large Cap (Mega),Sobrevalorada
AES,AES Corporation,Independent Power Producers & Energy Traders,14.73,5.516854,0.0478,2.67,12.33,17.65,10504812544.0,4070000128.0,0.8047198,2.1255412,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES,Sí,Large Cap,Subvalorada
AFL,Aflac,Life & Health Insurance,121.45,13.101401,0.0201,9.27,104.66,130.22,60888141824.0,6064999936.0,3.3697572,2.0123608,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL,Sí,Large Cap,Subvalorada
A,Agilent Technologies,Life Sciences Tools & Services,148.53,29.8253,0.0069,4.98,108.35,160.27,41949614080.0,2015000064.0,5.800555,5.8856397,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A,Sí,Large Cap,Neutral
APD,Air Products,Industrial Gases,308.97,,0.0237,-0.22,229.11,314.87,68803149824.0,1028899968.0,5.4596143,4.9556513,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD,Sí,Large Cap,Sin P/E (Pérdidas)
ABNB,Airbnb,"Hotels, Resorts & Cruise Lines",184.06,42.02283,0.0,4.38,110.81,187.12,110212489216.0,2760999936.0,8.375445,13.923898,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABNB,No,Large Cap,Sobrevalorada
AKAM,Akamai Technologies,Internet Services & Infrastructure,124.99,45.286232,0.0,2.76,70.82,165.45,17963139072.0,1079897984.0,4.155408,3.7795584,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM,No,Large Cap,Sobrevalorada
ALB,Albemarle Corporation,Specialty Chemicals,136.15,504.25922,0.012,0.27,71.25,221.0,16066387968.0,1482468992.0,2.7194734,1.998092,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB,Sí,Large Cap,Sobrevalorada
ARE,Alexandria Real Estate Equities,Office REITs,48.14,,0.0598,-6.05,39.41,88.24,8284666880.0,1781940992.0,2.9168005,0.5284129,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE,Sí,Mid Cap,Sin P/E (Pérdidas)
ALGN,Align Technology,Health Care Supplies,181.31,31.422876,0.0,5.77,122.0,200.44,12880236544.0,910062016.0,3.11152,3.0519972,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN,No,Large Cap,Sobrevalorada
ALLE,Allegion,Building Products,164.78,21.653088,0.0129,7.61,125.0,183.11,14012360704.0,1049299968.0,3.267427,6.615811,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE,Sí,Large Cap,Neutral
LNT,Alliant Energy,Electric Utilities,70.6,22.34177,0.0303,3.16,63.28,78.81,18305499136.0,1828999936.0,4.1330996,2.4312968,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT,Sí,Large Cap,Neutral
ALL,Allstate,Property & Casualty Insurance,261.41,5.23553,0.0165,49.93,188.08,277.22,66099597312.0,17116000256.0,0.94243544,2.0947826,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL,Sí,Large Cap,Subvalorada
GOOGL,Alphabet Inc. (Class A),Interactive Media & Services,345.9,17.364458,0.0025,19.92,196.6,408.61,4230334382080.0,173164003328.0,9.4879055,6.7962117,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL,Sí,Large Cap (Mega),Neutral
GOOG,Alphabet Inc. (Class C),Interactive Media & Services,343.54,17.237331,0.0026,19.93,197.46,404.47,4201472065536.0,173164003328.0,9.423172,6.749843,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG,Sí,Large Cap (Mega),Neutral
MO,Altria,Tobacco,65.7,13.831578,0.0645,4.75,54.7,77.06,109702168576.0,15768000512.0,5.3659835,-41.113888,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO,Sí,Large Cap,Subvalorada
